snapshot_index,captured_at_utc,response_now_ms,target_id,callsign,lat_deg,lon_deg,alt_baro_ft,alt_geom_ft,ground_speed_kt,track_deg,baro_rate_ft_min,geom_rate_ft_min,seen_pos_s,db_flags
2,2026-08-04T03:02:46.501000Z,1785812566501,89910a,CAL102,34.829174,140.418377,14175,15150,396.0,44.8,-2688,-2752,0.267,0
2,2026-08-04T03:02:46.501000Z,1785812566501,71c073,ASV706,35.879013,140.428448,10500,11025,310.9,199.54,1184,896,0.096,0
2,2026-08-04T03:02:46.501000Z,1785812566501,8678c0,ANA56,37.11644,140.454887,24050,25800,468.7,192.82,-2112,-1216,2.357,0
2,2026-08-04T03:02:46.501000Z,1785812566501,71c709,PTA501,36.718323,140.565662,15000,16100,385.6,163.12,-64,-32,0.099,0
2,2026-08-04T03:02:46.501000Z,1785812566501,71c524,JJA1175,36.438578,140.583568,14950,16025,360.3,190.72,-832,-64,0.326,0
2,2026-08-04T03:02:46.501000Z,1785812566501,863b53,JA6939,35.906626,140.590405,675,875,118.1,283.21,-192,,1.414,0
2,2026-08-04T03:02:46.501000Z,1785812566501,846a34,JJP602,35.28447,140.689602,7925,8350,262.3,352.33,-800,-640,0.888,0
2,2026-08-04T03:02:46.501000Z,1785812566501,840587,SJO858,35.89671,140.881426,10450,11000,299.2,174.82,-736,-704,0.267,0
2,2026-08-04T03:02:46.501000Z,1785812566501,846a5b,NCA101,35.565025,141.06346,7925,8425,267.9,252.17,-448,-480,0.267,0
2,2026-08-04T03:02:46.501000Z,1785812566501,84118c,JAL6,35.731962,141.661046,25825,27750,473.8,85.04,704,608,0.207,0
3,2026-08-04T03:02:58Z,1785812578000,8511ca,JAL2112,36.083725,137.871609,32450,34950,495.1,209.0,-992,-1024,0.498,0
3,2026-08-04T03:02:58Z,1785812578000,851bba,JAL115,34.960373,137.926007,26000,28000,444.6,251.24,64,0,0.0,0
3,2026-08-04T03:02:58Z,1785812578000,8465cf,JA139R,35.44725,138.182888,11175,11950,114.2,356.49,64,832,0.35,0
3,2026-08-04T03:02:58Z,1785812578000,8687bc,ANA726,34.552643,138.217425,28525,30725,430.3,75.74,-992,-1152,0.061,0
3,2026-08-04T03:02:58Z,1785812578000,84b7b6,ANA535,35.454045,138.295489,28300,30525,442.0,266.11,1856,1888,0.021,0
3,2026-08-04T03:02:58Z,1785812578000,7809a6,CCA181,34.635703,138.424129,24925,26900,411.8,80.35,-1024,-992,0.199,0
3,2026-08-04T03:02:58Z,1785812578000,4406de,AUA26,36.008057,138.498344,24750,26725,442.0,270.65,448,,0.0,0
3,2026-08-04T03:02:58Z,1785812578000,8681b0,SKY009,35.633271,138.516677,25725,27600,458.0,266.24,1280,1344,0.0,0
3,2026-08-04T03:02:58Z,1785812578000,71c394,ABL111,35.780655,138.522754,29000,31300,468.0,270.0,1216,1248,0.087,0
3,2026-08-04T03:02:58Z,1785812578000,8681b3,SKY613,34.964874,138.550987,29700,31850,421.9,266.19,1088,1152,0.361,0
3,2026-08-04T03:02:58Z,1785812578000,846954,ANA296,34.715652,138.667752,26825,28950,478.0,89.76,-1088,-1056,0.0,0
3,2026-08-04T03:02:58Z,1785812578000,c02ed9,ACA025,35.955963,138.754921,37975,40925,517.2,245.07,-64,-64,0.431,0
3,2026-08-04T03:02:58Z,1785812578000,861ae1,ANA2011,35.478378,138.763332,22350,24025,454.9,266.47,2112,2112,0.349,0
3,2026-08-04T03:02:58Z,1785812578000,71c734,KAL703,36.885247,138.801807,32125,34650,473.8,81.01,-1216,-1216,0.012,0
3,2026-08-04T03:02:58Z,1785812578000,71c363,TWB251,36.920207,139.074316,27600,29750,440.4,80.99,-1280,-1248,0.176,0
3,2026-08-04T03:02:58Z,1785812578000,71c247,JNA205,36.946789,139.27601,28175,30425,451.9,80.7,-2304,-2336,0.006,0
3,2026-08-04T03:02:58Z,1785812578000,86d310,ANA248,34.712952,139.321775,16975,18250,369.0,90.31,-1888,-2304,0.29,0
3,2026-08-04T03:02:58Z,1785812578000,78165e,DKH1379,34.293961,139.456694,36150,38900,467.0,73.58,-2336,-2496,0.498,0
3,2026-08-04T03:02:58Z,1785812578000,84ce9c,JA27HE,36.201736,139.470806,2875,,66.0,144.87,-283,,0.138,0
3,2026-08-04T03:02:58Z,1785812578000,84c5ca,JAL691,35.178455,139.47553,15775,,406.0,247.0,1845,,1.396,0
3,2026-08-04T03:02:58Z,1785812578000,861ed6,ANA386,34.764327,139.528198,12950,13625,333.5,60.75,-32,0,0.129,0
3,2026-08-04T03:02:58Z,1785812578000,840532,N,36.110307,139.638951,5000,,108.0,337.85,192,,2.934,0
3,2026-08-04T03:02:58Z,1785812578000,8518ae,JAL259,35.690414,139.740658,12425,13225,365.5,266.86,2112,1920,0.188,0
3,2026-08-04T03:02:58Z,1785812578000,861e4e,ANA623,35.331848,139.770298,11150,11650,354.3,221.34,,1280,0.34,0
3,2026-08-04T03:02:58Z,1785812578000,71c259,AAR1075,35.546009,139.771441,ground,,0.9,,,,33.748,0
3,2026-08-04T03:02:58Z,1785812578000,8675d8,ANA22,35.557274,139.773502,ground,150,16.5,351.56,,-64,0.383,0
3,2026-08-04T03:02:58Z,1785812578000,8681ba,@@@@@@@@,35.558773,139.775906,ground,,6.2,59.06,,,1.037,0
3,2026-08-04T03:02:58Z,1785812578000,ab6380,AAL170,35.544112,139.777811,ground,,14.2,,,,0.0,0
3,2026-08-04T03:02:58Z,1785812578000,8514f8,JAL215,35.548759,139.780855,ground,,0.0,331.88,,,0.156,0
3,2026-08-04T03:02:58Z,1785812578000,87ad9e,TEST,35.540108,139.781785,ground,,10.8,239.06,,,0.383,0
3,2026-08-04T03:02:58Z,1785812578000,8682fc,JAL308,35.550303,139.782004,ground,,1.4,,,,0.383,0
3,2026-08-04T03:02:58Z,1785812578000,87add6,TEST,35.545846,139.782924,ground,,9.2,331.88,,,13.406,0
3,2026-08-04T03:02:58Z,1785812578000,86dd6e,JAL317,35.54591,139.784846,ground,,0.0,98.44,,,1.713,0
3,2026-08-04T03:02:58Z,1785812578000,8464d2,ANA282,35.560998,139.786211,ground,,20.5,,,,0.053,0
3,2026-08-04T03:02:58Z,1785812578000,86cf2b,SNJ57,35.556832,139.786781,ground,,2.2,149.06,,,33.584,0
3,2026-08-04T03:02:58Z,1785812578000,850e9c,JAL659,35.544525,139.787021,ground,,0.0,239.06,,,2.423,0
3,2026-08-04T03:02:58Z,1785812578000,841a6c,ADO42,35.556471,139.790711,ground,75,8.2,149.06,,,0.709,0
3,2026-08-04T03:02:58Z,1785812578000,851ca8,JAL629,35.545464,139.790897,ground,,26.5,59.06,,,17.827,0
3,2026-08-04T03:02:58Z,1785812578000,8681ac,SKY011,35.535139,139.79524,ground,,13.2,59.06,,,7.644,0
3,2026-08-04T03:02:58Z,1785812578000,846021,JAL186,35.520102,139.797344,375,550,149.2,329.83,-704,,0.32,0
3,2026-08-04T03:02:58Z,1785812578000,861f22,JAL85,35.526604,139.801884,ground,,10.2,,,,0.875,0
3,2026-08-04T03:02:58Z,1785812578000,8a0532,GIA875,35.524269,139.803407,ground,,9.2,,,,0.053,0
3,2026-08-04T03:02:58Z,1785812578000,8678e2,ANA471,35.531055,139.805803,ground,,12.2,149.06,,,7.916,0
3,2026-08-04T03:02:58Z,1785812578000,781aa8,CSH815,34.874817,139.812124,11400,12150,271.2,104.09,-1216,-1280,0.29,0
3,2026-08-04T03:02:58Z,1785812578000,a67f8a,DAL121,35.469547,139.833166,1475,1700,152.8,329.74,-832,-672,0.32,0
3,2026-08-04T03:02:58Z,1785812578000,850e58,JAL690,35.400929,139.881787,2925,3200,192.6,330.11,-992,-832,0.024,0
3,2026-08-04T03:02:58Z,1785812578000,8681a8,SKY710,35.388965,139.911941,3275,3450,217.0,329.53,-1344,-1216,0.021,0
3,2026-08-04T03:02:58Z,1785812578000,867a1a,JA71HU,36.081465,139.940688,1400,,83.0,349.0,-35,,0.71,0
3,2026-08-04T03:02:58Z,1785812578000,8406e8,JAL513,35.66339,139.963366,8600,9150,260.0,0.22,832,736,0.145,0
